iter	Passed	Remaining
0	19	19555
1	28	14372
2	35	11901
3	45	11349
4	52	10480
5	62	10430
6	71	10081
7	81	10048
8	89	9855
9	99	9839
10	108	9758
11	116	9556
12	125	9553
13	134	9456
14	144	9520
15	153	9460
16	163	9457
17	172	9398
18	181	9357
19	191	9405
20	200	9344
21	210	9340
22	220	9377
23	231	9423
24	244	9548
25	257	9631
26	266	9600
27	278	9676
28	291	9761
29	300	9715
30	313	9812
31	331	10030
32	345	10112
33	359	10225
34	370	10209
35	378	10125
36	387	10095
37	396	10035
38	405	9999
39	414	9950
40	424	9931
41	432	9854
42	440	9811
43	448	9745
44	458	9731
45	467	9694
46	476	9671
47	487	9674
48	496	9640
49	506	9627
50	514	9564
51	524	9557
52	533	9528
53	541	9481
54	550	9453
55	558	9407
56	569	9418
57	576	9364
58	587	9369
59	595	9332
60	605	9322
61	615	9310
62	623	9280
63	633	9267
64	642	9240
65	651	9225
66	659	9184
67	669	9171
68	678	9155
69	687	9130
70	696	9107
71	705	9087
72	716	9097
73	724	9067
74	734	9064
75	742	9028
76	752	9023
77	761	9001
78	770	8979
79	779	8961
80	787	8937
81	797	8931
82	806	8912
83	816	8907
84	824	8877
85	834	8867
86	843	8851
87	851	8827
88	860	8807
89	868	8777
90	877	8765
91	885	8737
92	895	8732
93	903	8707
94	913	8704
95	921	8679
96	931	8675
97	942	8670
98	950	8653
99	960	8640
100	968	8619
101	980	8630
102	990	8629
103	1000	8617
104	1012	8630
105	1023	8628
106	1033	8625
107	1044	8623
108	1049	8579
109	1058	8567
110	1067	8548
111	1078	8550
112	1085	8523
113	1096	8518
114	1106	8513
115	1115	8499
116	1125	8491
117	1137	8505
118	1148	8503
119	1159	8503
120	1170	8503
121	1180	8498
122	1193	8507
123	1205	8516
124	1216	8516
125	1227	8512
126	1237	8508
127	1249	8515
128	1259	8503
129	1268	8490
130	1277	8475
131	1287	8467
132	1294	8440
133	1304	8433
134	1314	8422
135	1323	8405
136	1331	8384
137	1340	8371
138	1349	8358
139	1357	8338
140	1366	8324
141	1374	8306
142	1384	8299
143	1392	8278
144	1403	8277
145	1412	8260
146	1420	8242
147	1430	8236
148	1440	8225
149	1450	8221
150	1461	8214
151	1470	8205
152	1480	8195
153	1488	8178
154	1498	8169
155	1508	8159
156	1519	8159
157	1529	8151
158	1537	8133
159	1547	8125
160	1555	8106
161	1566	8102
162	1575	8088
163	1584	8077
164	1594	8067
165	1601	8047
166	1610	8034
167	1617	8012
168	1626	7999
169	1634	7979
170	1643	7965
171	1651	7948
172	1661	7941
173	1668	7919
174	1677	7909
175	1685	7890
176	1693	7875
177	1700	7853
178	1710	7844
179	1718	7826
180	1727	7815
181	1734	7797
182	1744	7788
183	1752	7770
184	1761	7758
185	1768	7741
186	1777	7728
187	1785	7710
188	1795	7702
189	1806	7700
190	1813	7681
191	1823	7673
192	1830	7654
193	1839	7643
194	1847	7626
195	1856	7614
196	1864	7600
197	1874	7590
198	1881	7572
199	1891	7565
200	1898	7547
201	1909	7542
202	1916	7525
203	1927	7520
204	1936	7509
205	1943	7492
206	1954	7485
207	1962	7473
208	1971	7462
209	1979	7446
210	1988	7436
211	1996	7420
212	2005	7410
213	2014	7400
214	2024	7391
215	2031	7374
216	2040	7361
217	2047	7344
218	2057	7337
219	2065	7323
220	2076	7317
221	2085	7310
222	2093	7294
223	2103	7287
224	2110	7269
225	2120	7261
226	2127	7245
227	2136	7234
228	2143	7218
229	2153	7208
230	2160	7192
231	2170	7186
232	2178	7172
233	2187	7161
234	2195	7145
235	2204	7135
236	2212	7123
237	2220	7108
238	2228	7094
239	2237	7085
240	2246	7073
241	2254	7060
242	2263	7050
243	2272	7039
244	2281	7032
245	2292	7026
246	2303	7021
247	2312	7013
248	2322	7004
249	2332	6996
250	2339	6980
251	2349	6972
252	2356	6957
253	2366	6950
254	2373	6934
255	2383	6926
256	2390	6912
257	2400	6904
258	2409	6895
259	2417	6881
260	2427	6872
261	2434	6857
262	2444	6849
263	2451	6833
264	2462	6829
265	2472	6823
266	2484	6820
267	2495	6815
268	2503	6803
269	2513	6796
270	2524	6791
271	2534	6782
272	2545	6778
273	2554	6768
274	2566	6765
275	2581	6771
276	2592	6766
277	2601	6756
278	2611	6749
279	2619	6735
280	2628	6726
281	2636	6712
282	2644	6701
283	2653	6688
284	2661	6677
285	2670	6667
286	2678	6653
287	2687	6643
288	2695	6631
289	2705	6623
290	2712	6609
291	2725	6607
292	2735	6599
293	2743	6587
294	2752	6577
295	2760	6564
296	2768	6552
297	2777	6542
298	2786	6532
299	2794	6521
300	2806	6516
301	2813	6503
302	2823	6495
303	2830	6481
304	2840	6472
305	2847	6458
306	2857	6450
307	2865	6438
308	2873	6425
309	2881	6413
310	2890	6404
311	2900	6394
312	2908	6383
313	2917	6374
314	2925	6360
315	2934	6351
316	2941	6337
317	2951	6329
318	2958	6316
319	2967	6306
320	2975	6293
321	2984	6284
322	2992	6272
323	3002	6265
324	3012	6256
325	3020	6245
326	3030	6236
327	3038	6225
328	3048	6217
329	3056	6206
330	3067	6199
331	3074	6186
332	3085	6181
333	3092	6167
334	3102	6158
335	3111	6149
336	3122	6142
337	3131	6133
338	3138	6120
339	3149	6113
340	3157	6102
341	3166	6091
342	3174	6079
343	3182	6069
344	3190	6056
345	3198	6045
346	3206	6033
347	3217	6028
348	3225	6017
349	3233	6005
350	3242	5995
351	3251	5985
352	3260	5976
353	3269	5966
354	3281	5962
355	3290	5952
356	3298	5941
357	3307	5930
358	3316	5922
359	3327	5915
360	3335	5904
361	3346	5897
362	3354	5887
363	3363	5877
364	3372	5867
365	3381	5857
366	3390	5848
367	3398	5835
368	3408	5828
369	3415	5816
370	3425	5807
371	3433	5797
372	3444	5789
373	3452	5778
374	3460	5768
375	3469	5758
376	3477	5746
377	3485	5736
378	3493	5724
379	3503	5716
380	3513	5708
381	3523	5700
382	3531	5689
383	3542	5682
384	3550	5672
385	3559	5662
386	3568	5652
387	3576	5641
388	3587	5634
389	3595	5623
390	3605	5615
391	3613	5603
392	3624	5597
393	3633	5589
394	3642	5578
395	3657	5578
396	3671	5576
397	3689	5581
398	3707	5584
399	3725	5588
400	3741	5588
401	3756	5587
402	3771	5586
403	3781	5578
404	3802	5585
405	3820	5589
406	3830	5580
407	3839	5570
408	3847	5559
409	3857	5550
410	3867	5542
411	3875	5530
412	3885	5522
413	3893	5510
414	3903	5502
415	3911	5491
416	3920	5481
417	3929	5471
418	3938	5461
419	3948	5452
420	3956	5440
421	3967	5434
422	3979	5428
423	3989	5419
424	4000	5412
425	4010	5404
426	4019	5393
427	4028	5383
428	4037	5373
429	4049	5367
430	4056	5354
431	4066	5346
432	4075	5336
433	4084	5327
434	4094	5317
435	4101	5305
436	4110	5295
437	4117	5282
438	4127	5274
439	4136	5264
440	4146	5255
441	4153	5243
442	4163	5234
443	4170	5222
444	4179	5213
445	4187	5201
446	4196	5191
447	4204	5180
448	4214	5171
449	4223	5161
450	4231	5151
451	4240	5140
452	4248	5129
453	4257	5119
454	4265	5109
455	4275	5100
456	4283	5089
457	4291	5078
458	4299	5067
459	4309	5058
460	4316	5047
461	4327	5039
462	4334	5027
463	4344	5018
464	4352	5007
465	4361	4998
466	4373	4991
467	4382	4981
468	4393	4974
469	4402	4964
470	4410	4953
471	4420	4945
472	4428	4934
473	4439	4926
474	4448	4916
475	4457	4907
476	4466	4897
477	4474	4886
478	4483	4876
479	4491	4865
480	4500	4856
481	4508	4845
482	4517	4835
483	4528	4827
484	4545	4826
485	4559	4822
486	4569	4813
487	4578	4803
488	4589	4796
489	4599	4787
490	4607	4776
491	4617	4768
492	4626	4758
493	4638	4750
494	4646	4740
495	4657	4732
496	4669	4726
497	4682	4720
498	4692	4711
499	4706	4706
500	4725	4706
501	4743	4705
502	4764	4707
503	4779	4703
504	4792	4697
505	4806	4692
506	4823	4690
507	4847	4694
508	4863	4691
509	4880	4688
510	4897	4686
511	4907	4677
512	4919	4670
513	4933	4665
514	4948	4660
515	4966	4658
516	4982	4654
517	4995	4647
518	5005	4639
519	5021	4634
520	5033	4628
521	5052	4626
522	5124	4673
523	5141	4670
524	5157	4666
525	5184	4671
526	5222	4687
527	5242	4686
528	5263	4686
529	5282	4684
530	5297	4679
531	5314	4674
532	5329	4669
533	5347	4666
534	5363	4661
535	5380	4657
536	5393	4650
537	5409	4645
538	5425	4640
539	5445	4638
540	5461	4633
541	5478	4629
542	5497	4626
543	5511	4620
544	5527	4614
545	5539	4606
546	5551	4597
547	5561	4587
548	5575	4580
549	5586	4571
550	5594	4558
551	5605	4549
552	5614	4538
553	5623	4526
554	5631	4515
555	5640	4504
556	5649	4493
557	5657	4481
558	5667	4470
559	5674	4458
560	5684	4448
561	5692	4436
562	5702	4426
563	5710	4414
564	5718	4403
565	5727	4391
566	5736	4380
567	5745	4370
568	5753	4358
569	5762	4347
570	5770	4335
571	5782	4326
572	5794	4317
573	5805	4308
574	5817	4299
575	5827	4289
576	5837	4279
577	5846	4268
578	5854	4257
579	5865	4247
580	5873	4235
581	5883	4225
582	5893	4215
583	5904	4205
584	5915	4196
585	5924	4185
586	5933	4174
587	5943	4164
588	5951	4152
589	5961	4142
590	5969	4131
591	5979	4121
592	5989	4111
593	5997	4099
594	6007	4089
595	6016	4078
596	6027	4068
597	6043	4062
598	6053	4052
599	6068	4045
600	6128	4068
601	6160	4072
602	6181	4069
603	6197	4063
604	6225	4064
605	6246	4061
606	6274	4062
607	6394	4122
608	6437	4133
609	6485	4146
610	6523	4153
611	6561	4159
612	6595	4163
613	6637	4172
614	6683	4184
615	6756	4211
616	6805	4224
617	6834	4224
618	6855	4219
619	6931	4248
620	6953	4243
621	6992	4249
622	7171	4339
623	7219	4350
624	7274	4364
625	7307	4365
626	7320	4354
627	7338	4347
628	7367	4345
629	7400	4346
630	7420	4339
631	7443	4334
632	7471	4331
633	7488	4322
634	7537	4332
635	7552	4322
636	7566	4311
637	7582	4302
638	7596	4291
639	7611	4281
640	7626	4271
641	7636	4258
642	7647	4245
643	7658	4233
644	7666	4219
645	7675	4206
646	7683	4192
647	7694	4179
648	7702	4165
649	7713	4153
650	7722	4140
651	7731	4126
652	7739	4112
653	7749	4100
654	7761	4088
655	7774	4076
656	7783	4063
